date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:29:46	539/539	---M--	200	added ('OK')	image/svg+xml	etag:%2221b-5a951843404c0%22	https://diri.isb.edu/content/dam/sites/isb/icons/down-fat-1.svg	/home/rishabh_/websites/ISB/diri.isb.edu/content/dam/sites/isb/icons/down-fat-1.svg	(from https://diri.isb.edu/etc.clientlibs/isb/clientlibs/clientlib-base.min.css)
21:29:47	881/881	---M--	200	added ('OK')	image/svg+xml	etag:%22371-5a95184528940%22	https://diri.isb.edu/content/dam/sites/isb/icons/search_c_events.svg	/home/rishabh_/websites/ISB/diri.isb.edu/content/dam/sites/isb/icons/search_c_events.svg	(from https://diri.isb.edu/etc.clientlibs/isb/clientlibs/clientlib-base.min.css)
21:29:48	499/499	---M--	200	added ('OK')	image/svg+xml	etag:%221f3-5a9518424c280%22	https://diri.isb.edu/content/dam/sites/isb/icons/down-fat.svg	/home/rishabh_/websites/ISB/diri.isb.edu/content/dam/sites/isb/icons/down-fat.svg	(from https://diri.isb.edu/etc.clientlibs/isb/clientlibs/clientlib-base.min.css)
21:29:49	996/996	---M--	200	added ('OK')	image/svg+xml	etag:%223e4-5a951838c2c00%22	https://diri.isb.edu/content/dam/sites/isb/icons/icon_grid_normal.svg	/home/rishabh_/websites/ISB/diri.isb.edu/content/dam/sites/isb/icons/icon_grid_normal.svg	(from https://diri.isb.edu/etc.clientlibs/isb/clientlibs/clientlib-base.min.css)
21:29:50	996/996	---M--	200	added ('OK')	image/svg+xml	etag:%223e4-5a951838c2c00%22	https://diri.isb.edu/content/dam/sites/isb/icons/icon_grid_active.svg	/home/rishabh_/websites/ISB/diri.isb.edu/content/dam/sites/isb/icons/icon_grid_active.svg	(from https://diri.isb.edu/etc.clientlibs/isb/clientlibs/clientlib-base.min.css)
21:29:51	810/810	---M--	200	added ('OK')	image/svg+xml	etag:%2232a-5a951838c2c00%22	https://diri.isb.edu/content/dam/sites/isb/icons/icon_listing_normal.svg	/home/rishabh_/websites/ISB/diri.isb.edu/content/dam/sites/isb/icons/icon_listing_normal.svg	(from https://diri.isb.edu/etc.clientlibs/isb/clientlibs/clientlib-base.min.css)
21:29:52	810/810	---M--	200	added ('OK')	image/svg+xml	etag:%2232a-5a951839b6e40%22	https://diri.isb.edu/content/dam/sites/isb/icons/icon_listing_active.svg	/home/rishabh_/websites/ISB/diri.isb.edu/content/dam/sites/isb/icons/icon_listing_active.svg	(from https://diri.isb.edu/etc.clientlibs/isb/clientlibs/clientlib-base.min.css)
21:29:53	1987/1987	---M--	200	added ('OK')	image/svg+xml	etag:%227c3-5a951838c2c00%22	https://diri.isb.edu/content/dam/sites/isb/icons/calendar.svg	/home/rishabh_/websites/ISB/diri.isb.edu/content/dam/sites/isb/icons/calendar.svg	(from https://diri.isb.edu/etc.clientlibs/isb/clientlibs/clientlib-base.min.css)
21:29:54	512/512	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2001%20Dec%202020%2015:59:54%20GMT	https://diri.isb.edu/content/dam/sites/isb/icons/calendar_active.svg	/home/rishabh_/websites/ISB/diri.isb.edu/content/dam/sites/isb/icons/calendar_active.5b.delayed	(from https://diri.isb.edu/etc.clientlibs/isb/clientlibs/clientlib-base.min.css)
21:29:55	12805/12805	---M--	200	added ('OK')	image/jpeg	etag:%223205-5a952e4d303c0%22	https://diri.isb.edu/content/dam/sites/isb/images/comunity05.jpg	/home/rishabh_/websites/ISB/diri.isb.edu/content/dam/sites/isb/images/comunity05.jpg	(from https://diri.isb.edu/etc.clientlibs/isb/clientlibs/clientlib-base.min.css)
